year,week_of_year,borough,avg_ridership,total_ridership,peak_period,period,week_start
2025,30,Brooklyn,30.968115736807324,1312181.0,Evening Peak,Post Policy,2025-07-21
2025,30,Manhattan,140.24465214609583,5041655.0,Evening Peak,Post Policy,2025-07-21
2025,30,Queens,38.76711054538334,791857.0,Evening Peak,Post Policy,2025-07-21
2025,31,Bronx,16.724044333861116,295748.0,Evening Peak,Post Policy,2025-07-28
2025,31,Brooklyn,29.516258425899554,1243579.0,Evening Peak,Post Policy,2025-07-28
2025,31,Manhattan,132.27663139083572,4737223.0,Evening Peak,Post Policy,2025-07-28
2025,31,Queens,37.288359657374855,753113.0,Evening Peak,Post Policy,2025-07-28
2025,32,Bronx,18.544482626956853,339976.0,Evening Peak,Post Policy,2025-08-04
2025,32,Brooklyn,31.238196400439204,1308693.0,Evening Peak,Post Policy,2025-08-04
2025,32,Manhattan,137.40140296180826,4936008.0,Evening Peak,Post Policy,2025-08-04
2025,32,Queens,38.226706405433134,782386.0,Evening Peak,Post Policy,2025-08-04
2025,33,Bronx,16.77737803216135,307781.0,Evening Peak,Post Policy,2025-08-11
2025,33,Brooklyn,30.667935390251444,1289188.0,Evening Peak,Post Policy,2025-08-11
2025,33,Manhattan,136.72935280641465,4774589.0,Evening Peak,Post Policy,2025-08-11
2025,33,Queens,38.153322560109686,779129.0,Evening Peak,Post Policy,2025-08-11
2025,34,Bronx,17.20949629306585,315691.0,Evening Peak,Post Policy,2025-08-18
2025,34,Brooklyn,31.128741426528684,1284403.0,Evening Peak,Post Policy,2025-08-18
2025,34,Manhattan,135.42421290858567,4727253.0,Evening Peak,Post Policy,2025-08-18
2025,34,Queens,40.66601679664067,813483.0,Evening Peak,Post Policy,2025-08-18
2025,35,Bronx,17.422624877571007,320193.0,Evening Peak,Post Policy,2025-08-25
2025,35,Brooklyn,30.93332070467892,1306376.0,Evening Peak,Post Policy,2025-08-25
2025,35,Manhattan,133.80866632367233,4681430.0,Evening Peak,Post Policy,2025-08-25
2025,35,Queens,42.16467874147156,859021.0,Evening Peak,Post Policy,2025-08-25
2025,36,Bronx,17.0229910590326,306533.0,Evening Peak,Post Policy,2025-09-01
2025,36,Brooklyn,31.282634376845834,1271076.0,Evening Peak,Post Policy,2025-09-01
2025,36,Manhattan,131.96688493379872,4574896.0,Evening Peak,Post Policy,2025-09-01
2025,36,Queens,39.16212808875441,776585.0,Evening Peak,Post Policy,2025-09-01
2025,37,Bronx,19.138008086826986,359718.0,Evening Peak,Post Policy,2025-09-08
2025,37,Brooklyn,34.88838458248182,1468173.0,Evening Peak,Post Policy,2025-09-08
